,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
bayesian spymaster:0.0,0.332,1.746,2.49,2.742,3.062,0.29,0.944,1.49,1.862,2.312,0.126,2.858,3.176,3.232,3.31,2.236,2.376,2.83,3.084,3.12,1.35,1.46,1.872,2.158,2.508,1.932,2.608,3.056,3.216,3.33,0.724,1.01,1.4,1.682,2.082,2.362,2.422,2.464,2.546,2.642,,,,,,,,,,,,,,,
bayesian spymaster:0.25,0.51,0.976,1.82,2.386,2.872,0.166,0.438,0.818,1.294,1.772,0.678,2.292,3.048,3.138,3.228,2.064,2.216,2.298,2.642,2.938,0.726,0.764,1.064,1.466,1.898,1.172,2.05,2.758,3.086,3.172,0.252,0.398,0.736,1.122,1.44,1.768,1.866,1.898,2.008,2.148,,,,,,,,,,,,,,,
bayesian spymaster:0.5,0.742,0.966,1.742,2.218,2.816,0.156,0.264,0.552,0.936,1.49,0.558,2.426,3.234,3.316,3.314,2.066,2.148,2.286,2.674,3.014,0.494,0.586,0.888,1.284,1.714,1.124,1.922,2.792,3.156,3.108,0.222,0.33,0.566,0.862,1.198,1.8,1.78,1.918,1.93,1.982,,,,,,,,,,,,,,,
bayesian spymaster:0.75,1.064,1.334,1.838,2.344,2.818,0.204,0.294,0.538,0.892,1.318,0.534,2.3,3.238,3.234,3.316,2.14,2.19,2.338,2.758,3.046,0.42,0.496,0.728,1.114,1.546,1.31,1.992,2.708,3.102,3.27,0.24,0.314,0.554,0.8,1.044,1.828,1.78,1.858,1.984,2.186,,,,,,,,,,,,,,,
bayesian spymaster:1.0,1.298,1.53,2.046,2.726,2.87,0.254,0.318,0.57,0.806,1.326,0.518,2.584,3.236,3.29,3.278,2.25,2.332,2.562,2.802,3.016,0.466,0.556,0.778,1.082,1.434,1.428,2.178,2.8,3.084,3.218,0.26,0.36,0.534,0.826,1.24,1.914,1.896,1.944,2.03,2.132,,,,,,,,,,,,,,,
noisy spymaster:w2v:0.0,0.416,2.214,1.73,0.736,2.05,1.626,0.754,1.978,1.658,0.65,1.988,1.702,0.554,1.992,1.59,0.024,1.402,2.234,2.58,2.916,1.928,1.978,2.204,2.43,2.638,1.484,2.874,3.264,3.368,3.414,3.148,3.114,3.094,3.134,3.258,2.044,2.108,2.422,2.58,2.714,1.988,2.508,2.96,3.194,3.224,1.62,1.826,1.89,2.242,2.354,2.376,2.37,2.436,2.552,2.542
noisy spymaster:w2v:0.25,0.418,2.212,1.73,0.736,2.05,1.626,0.754,1.978,1.658,0.65,1.992,1.702,0.554,1.992,1.59,0.024,1.326,2.156,2.688,2.998,1.926,2.14,2.176,2.506,2.698,1.484,2.962,3.324,3.412,3.432,3.148,3.16,3.228,3.232,3.362,2.048,2.228,2.296,2.452,2.628,1.988,2.526,3.05,3.328,3.25,1.622,1.712,1.978,2.146,2.486,2.38,2.354,2.484,2.512,2.54
noisy spymaster:w2v:0.5,0.496,2.312,1.81,0.858,2.114,1.718,0.852,2.038,1.702,0.772,2.016,1.742,0.66,2.018,1.638,0.098,1.422,2.216,2.74,3.054,1.996,2.17,2.212,2.544,2.76,1.538,2.964,3.31,3.402,3.414,3.14,3.154,3.244,3.254,3.352,2.136,2.246,2.364,2.43,2.672,2.04,2.618,3.046,3.266,3.232,1.69,1.802,2.078,2.206,2.476,2.392,2.404,2.544,2.614,2.614
noisy spymaster:w2v:0.75,0.976,2.542,2.044,1.526,2.378,2.098,1.514,2.454,1.962,1.394,2.272,1.994,1.34,2.264,1.848,0.708,1.984,2.582,2.934,3.162,2.252,2.474,2.604,2.894,3.004,2.056,3.018,3.282,3.368,3.356,3.18,3.206,3.24,3.284,3.35,2.4,2.484,2.552,2.712,2.932,2.336,2.842,3.218,3.29,3.328,2.046,2.19,2.254,2.46,2.762,2.586,2.602,2.648,2.75,2.732
noisy spymaster:w2v:1.0,1.686,2.822,2.444,2.216,2.75,2.528,2.114,2.732,2.396,1.988,2.56,2.232,1.942,2.512,2.208,1.578,2.568,2.914,3.02,3.186,2.734,2.686,2.816,3.04,3.11,2.48,3.216,3.378,3.408,3.386,3.274,3.24,3.312,3.338,3.468,2.696,2.772,2.87,2.998,3.064,2.686,2.998,3.202,3.288,3.374,2.478,2.394,2.554,2.716,2.93,2.778,2.822,2.878,2.848,2.842
noisy spymaster:glove 300:0.0,1.198,2.428,1.962,1.196,2.036,1.776,1.184,2.132,1.816,1.176,2.054,1.844,1.142,2.088,1.832,2.686,2.71,2.898,2.962,3.1,0.002,0.726,1.28,1.822,2.212,1.656,3.012,3.27,3.384,3.422,3.164,3.15,3.17,3.308,3.328,0.98,1.336,1.576,2.062,2.326,2.722,2.8,3.16,3.294,3.324,0.546,0.892,1.382,1.838,2.212,2.662,2.608,2.678,2.712,2.682
noisy spymaster:glove 300:0.25,1.198,2.428,1.962,1.196,2.036,1.776,1.184,2.132,1.816,1.176,2.054,1.844,1.142,2.088,1.832,2.686,2.748,2.882,2.984,3.072,0.002,0.728,1.26,1.79,2.176,1.656,3.082,3.22,3.312,3.42,3.164,3.206,3.296,3.43,3.446,0.98,1.148,1.642,1.97,2.272,2.722,2.946,3.134,3.192,3.308,0.546,0.842,1.376,1.786,2.148,2.662,2.662,2.736,2.726,2.754
