,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
bayesian spymaster:0.0,1.0,0.744,0.546,0.408,0.398,1.0,0.906,0.784,0.708,0.614,1.0,0.44,0.232,0.15,0.14,0.858,0.652,0.484,0.398,0.324,0.84,0.796,0.738,0.69,0.568,0.656,0.488,0.314,0.302,0.224,0.956,0.906,0.86,0.734,0.65,0.592,0.594,0.578,0.52,0.464,,,,,,,,,,,,,,,
bayesian spymaster:0.25,0.994,0.93,0.774,0.558,0.474,1.0,0.974,0.924,0.862,0.774,0.97,0.576,0.318,0.23,0.17,0.838,0.768,0.664,0.514,0.426,0.952,0.914,0.858,0.784,0.742,0.874,0.716,0.5,0.366,0.264,0.998,0.986,0.938,0.886,0.816,0.776,0.766,0.73,0.734,0.684,,,,,,,,,,,,,,,
bayesian spymaster:0.5,0.962,0.924,0.786,0.616,0.51,0.998,0.996,0.956,0.89,0.82,0.968,0.62,0.298,0.214,0.15,0.784,0.736,0.67,0.546,0.466,0.976,0.96,0.922,0.834,0.794,0.874,0.718,0.54,0.344,0.232,0.998,0.996,0.958,0.92,0.846,0.808,0.77,0.762,0.736,0.696,,,,,,,,,,,,,,,
bayesian spymaster:0.75,0.9,0.856,0.698,0.566,0.468,0.994,0.988,0.966,0.916,0.846,0.976,0.56,0.288,0.18,0.134,0.734,0.722,0.63,0.522,0.424,0.968,0.964,0.918,0.868,0.8,0.876,0.718,0.492,0.338,0.25,0.992,0.99,0.978,0.936,0.866,0.758,0.734,0.732,0.694,0.68,,,,,,,,,,,,,,,
bayesian spymaster:1.0,0.842,0.808,0.672,0.54,0.428,0.992,0.982,0.97,0.918,0.844,0.964,0.52,0.292,0.198,0.144,0.648,0.654,0.554,0.508,0.398,0.966,0.964,0.946,0.874,0.818,0.798,0.62,0.448,0.32,0.214,0.99,0.976,0.962,0.914,0.852,0.738,0.72,0.7,0.676,0.61,,,,,,,,,,,,,,,
noisy spymaster:w2v:0.0,0.94,0.626,0.698,0.89,0.704,0.772,0.896,0.652,0.76,0.91,0.672,0.778,0.924,0.66,0.764,1.0,0.768,0.606,0.448,0.364,0.582,0.564,0.554,0.494,0.432,0.76,0.372,0.218,0.164,0.146,0.218,0.224,0.208,0.21,0.21,0.622,0.592,0.566,0.55,0.464,0.61,0.438,0.316,0.256,0.208,0.686,0.664,0.614,0.6,0.522,0.538,0.542,0.524,0.494,0.464
noisy spymaster:w2v:0.25,0.94,0.628,0.698,0.89,0.704,0.772,0.896,0.652,0.76,0.91,0.674,0.778,0.924,0.66,0.764,1.0,0.8,0.606,0.468,0.352,0.584,0.584,0.554,0.508,0.46,0.76,0.348,0.192,0.142,0.12,0.218,0.22,0.228,0.2,0.198,0.622,0.602,0.558,0.514,0.478,0.61,0.458,0.298,0.248,0.204,0.686,0.698,0.638,0.566,0.528,0.538,0.554,0.508,0.494,0.45
noisy spymaster:w2v:0.5,0.924,0.618,0.692,0.87,0.682,0.756,0.876,0.656,0.754,0.88,0.66,0.756,0.898,0.648,0.77,0.988,0.802,0.588,0.476,0.352,0.568,0.562,0.52,0.48,0.442,0.726,0.344,0.194,0.152,0.12,0.224,0.224,0.226,0.206,0.18,0.612,0.576,0.552,0.484,0.432,0.604,0.444,0.28,0.228,0.194,0.668,0.678,0.638,0.552,0.506,0.536,0.526,0.502,0.486,0.44
noisy spymaster:w2v:0.75,0.83,0.56,0.582,0.73,0.552,0.66,0.732,0.584,0.666,0.762,0.606,0.71,0.794,0.62,0.718,0.888,0.698,0.508,0.392,0.324,0.518,0.522,0.456,0.442,0.378,0.678,0.262,0.172,0.126,0.102,0.202,0.186,0.19,0.184,0.174,0.552,0.52,0.492,0.426,0.406,0.502,0.402,0.248,0.202,0.166,0.604,0.564,0.534,0.496,0.456,0.426,0.434,0.426,0.434,0.386
noisy spymaster:w2v:1.0,0.694,0.446,0.474,0.556,0.468,0.548,0.584,0.496,0.56,0.652,0.56,0.634,0.686,0.562,0.652,0.72,0.548,0.428,0.32,0.278,0.418,0.422,0.384,0.37,0.302,0.538,0.234,0.142,0.092,0.078,0.176,0.154,0.164,0.148,0.164,0.44,0.428,0.41,0.38,0.318,0.406,0.282,0.208,0.172,0.14,0.484,0.478,0.458,0.4,0.358,0.36,0.362,0.374,0.372,0.312
noisy spymaster:glove 300:0.0,0.802,0.612,0.656,0.774,0.638,0.694,0.766,0.632,0.718,0.792,0.65,0.706,0.812,0.648,0.698,0.414,0.348,0.314,0.282,0.252,1.0,0.876,0.77,0.69,0.568,0.71,0.336,0.182,0.136,0.102,0.254,0.262,0.25,0.232,0.208,0.828,0.838,0.736,0.67,0.592,0.392,0.302,0.198,0.194,0.168,0.894,0.858,0.764,0.694,0.606,0.396,0.382,0.356,0.326,0.344
noisy spymaster:glove 300:0.25,0.802,0.612,0.656,0.774,0.638,0.694,0.766,0.632,0.718,0.792,0.65,0.706,0.812,0.648,0.698,0.414,0.366,0.322,0.264,0.234,1.0,0.898,0.738,0.674,0.554,0.71,0.262,0.168,0.132,0.104,0.254,0.238,0.258,0.226,0.212,0.828,0.796,0.756,0.66,0.58,0.392,0.316,0.236,0.186,0.162,0.894,0.864,0.768,0.684,0.59,0.396,0.362,0.388,0.376,0.34
noisy spymaster:glove 300:0.5,0.802,0.612,0.656,0.774,0.638,0.694,0.766,0.632,0.718,0.792,0.65,0.706,0.812,0.648,0.698,0.414,0.366,0.322,0.264,0.234,1.0,0.898,0.738,0.674,0.554,0.71,0.262,0.168,0.132,0.104,0.254,0.238,0.258,0.226,0.212,0.828,0.796,0.756,0.658,0.58,0.392,0.316,0.236,0.186,0.162,0.894,0.864,0.768,0.684,0.59,0.396,0.362,0.388,0.376,0.34
noisy spymaster:glove 300:0.75,0.8,0.616,0.658,0.776,0.634,0.688,0.76,0.626,0.712,0.792,0.638,0.704,0.816,0.648,0.696,0.412,0.366,0.322,0.264,0.232,1.0,0.892,0.738,0.674,0.556,0.706,0.258,0.168,0.132,0.106,0.254,0.236,0.256,0.228,0.216,0.826,0.796,0.754,0.658,0.58,0.386,0.314,0.238,0.186,0.16,0.894,0.866,0.766,0.69,0.592,0.392,0.364,0.388,0.37,0.338
noisy spymaster:glove 300:1.0,0.786,0.598,0.632,0.752,0.612,0.666,0.728,0.594,0.682,0.752,0.602,0.658,0.77,0.636,0.678,0.41,0.364,0.316,0.256,0.23,0.99,0.876,0.74,0.658,0.544,0.71,0.24,0.166,0.13,0.106,0.244,0.236,0.244,0.226,0.208,0.82,0.784,0.746,0.658,0.572,0.38,0.318,0.234,0.18,0.16,0.884,0.852,0.74,0.664,0.576,0.39,0.366,0.404,0.388,0.35
noisy spymaster:cn_nb:0.0,0.67,0.492,0.522,0.824,0.684,0.758,0.822,0.66,0.77,0.812,0.648,0.748,0.754,0.638,0.718,0.486,0.454,0.382,0.336,0.3,0.578,0.566,0.502,0.442,0.382,1.0,0.43,0.294,0.228,0.184,0.252,0.25,0.244,0.218,0.202,0.534,0.518,0.492,0.46,0.442,0.514,0.412,0.32,0.258,0.194,0.564,0.566,0.53,0.494,0.412,0.44,0.452,0.444,0.42,0.402
noisy spymaster:cn_nb:0.25,0.58,0.404,0.476,0.714,0.58,0.672,0.752,0.616,0.722,0.76,0.604,0.682,0.728,0.596,0.656,0.434,0.394,0.344,0.258,0.256,0.478,0.46,0.416,0.396,0.348,0.938,0.344,0.194,0.142,0.118,0.218,0.194,0.228,0.182,0.194,0.51,0.454,0.434,0.39,0.336,0.446,0.342,0.254,0.198,0.182,0.496,0.508,0.454,0.42,0.398,0.38,0.376,0.376,0.362,0.334
noisy spymaster:cn_nb:0.5,0.324,0.178,0.248,0.446,0.402,0.402,0.504,0.526,0.502,0.516,0.48,0.496,0.468,0.466,0.506,0.256,0.234,0.206,0.19,0.164,0.29,0.28,0.272,0.236,0.236,0.634,0.19,0.086,0.094,0.08,0.142,0.136,0.136,0.106,0.134,0.29,0.308,0.248,0.242,0.224,0.244,0.192,0.134,0.138,0.114,0.332,0.294,0.302,0.244,0.234,0.252,0.234,0.25,0.24,0.216
noisy spymaster:cn_nb:0.75,0.214,0.128,0.174,0.386,0.352,0.374,0.454,0.478,0.49,0.424,0.444,0.442,0.43,0.43,0.43,0.206,0.184,0.17,0.152,0.136,0.266,0.246,0.24,0.204,0.18,0.52,0.168,0.084,0.082,0.082,0.116,0.13,0.108,0.12,0.124,0.252,0.268,0.21,0.19,0.198,0.202,0.168,0.12,0.122,0.11,0.318,0.252,0.284,0.214,0.194,0.224,0.212,0.228,0.22,0.196
noisy spymaster:cn_nb:1.0,0.21,0.11,0.154,0.358,0.326,0.364,0.436,0.478,0.476,0.432,0.44,0.42,0.418,0.41,0.444,0.216,0.192,0.172,0.14,0.124,0.274,0.246,0.236,0.19,0.178,0.482,0.146,0.082,0.082,0.084,0.112,0.12,0.114,0.114,0.128,0.258,0.262,0.19,0.196,0.208,0.2,0.17,0.126,0.13,0.122,0.3,0.236,0.254,0.208,0.176,0.212,0.212,0.22,0.196,0.186
noisy spymaster:d2v:0.0,0.786,0.626,0.678,0.784,0.668,0.72,0.772,0.666,0.73,0.818,0.628,0.73,0.852,0.654,0.736,0.356,0.324,0.302,0.256,0.228,0.464,0.486,0.494,0.418,0.386,0.616,0.326,0.22,0.152,0.13,0.702,0.608,0.514,0.438,0.366,0.494,0.462,0.466,0.428,0.372,0.428,0.358,0.268,0.2,0.184,0.518,0.478,0.456,0.42,0.382,0.372,0.38,0.36,0.34,0.34
noisy spymaster:d2v:0.25,0.786,0.626,0.678,0.784,0.668,0.72,0.772,0.666,0.73,0.818,0.628,0.73,0.852,0.654,0.736,0.356,0.33,0.316,0.268,0.236,0.464,0.472,0.442,0.412,0.348,0.616,0.288,0.182,0.126,0.122,0.702,0.592,0.518,0.45,0.392,0.494,0.486,0.458,0.414,0.346,0.428,0.36,0.262,0.236,0.196,0.518,0.478,0.434,0.408,0.338,0.372,0.374,0.376,0.362,0.354
noisy spymaster:d2v:0.5,0.786,0.622,0.674,0.782,0.664,0.718,0.77,0.664,0.73,0.818,0.626,0.73,0.852,0.654,0.736,0.356,0.332,0.318,0.266,0.236,0.468,0.474,0.44,0.412,0.35,0.616,0.288,0.18,0.126,0.12,0.7,0.592,0.518,0.45,0.39,0.492,0.488,0.458,0.414,0.352,0.428,0.36,0.264,0.234,0.194,0.518,0.484,0.434,0.414,0.334,0.372,0.376,0.376,0.36,0.352
noisy spymaster:d2v:0.75,0.764,0.604,0.642,0.734,0.6,0.674,0.696,0.62,0.654,0.75,0.596,0.676,0.792,0.636,0.676,0.344,0.318,0.318,0.254,0.23,0.482,0.444,0.446,0.396,0.366,0.598,0.276,0.176,0.122,0.114,0.682,0.584,0.502,0.432,0.382,0.474,0.462,0.446,0.398,0.318,0.408,0.326,0.25,0.22,0.186,0.496,0.458,0.422,0.404,0.346,0.368,0.366,0.354,0.328,0.34
noisy spymaster:d2v:1.0,0.668,0.554,0.602,0.548,0.452,0.508,0.528,0.45,0.486,0.566,0.454,0.526,0.64,0.496,0.578,0.286,0.3,0.268,0.22,0.212,0.426,0.434,0.4,0.364,0.344,0.522,0.258,0.138,0.098,0.092,0.636,0.53,0.46,0.384,0.332,0.424,0.416,0.396,0.346,0.316,0.346,0.266,0.236,0.182,0.162,0.432,0.418,0.378,0.368,0.304,0.304,0.326,0.316,0.29,0.272
noisy spymaster:glove 100:0.0,0.434,0.24,0.306,0.438,0.314,0.382,0.43,0.334,0.386,0.434,0.318,0.384,0.42,0.326,0.364,0.398,0.35,0.302,0.27,0.212,0.752,0.692,0.612,0.52,0.444,0.614,0.29,0.188,0.142,0.124,0.222,0.216,0.212,0.214,0.188,1.0,0.892,0.796,0.708,0.622,0.35,0.28,0.208,0.182,0.142,0.718,0.68,0.61,0.556,0.52,0.424,0.402,0.388,0.36,0.34
noisy spymaster:glove 100:0.25,0.434,0.24,0.306,0.438,0.314,0.382,0.43,0.334,0.386,0.434,0.318,0.384,0.42,0.326,0.364,0.398,0.328,0.282,0.252,0.202,0.752,0.746,0.662,0.558,0.486,0.614,0.246,0.138,0.128,0.112,0.222,0.214,0.2,0.2,0.182,1.0,0.906,0.798,0.678,0.618,0.35,0.244,0.222,0.216,0.15,0.718,0.706,0.62,0.552,0.53,0.424,0.402,0.396,0.388,0.376
noisy spymaster:glove 100:0.5,0.432,0.24,0.306,0.436,0.316,0.38,0.434,0.33,0.382,0.438,0.316,0.378,0.418,0.33,0.364,0.402,0.326,0.282,0.25,0.202,0.75,0.744,0.66,0.558,0.486,0.61,0.246,0.138,0.128,0.112,0.222,0.212,0.2,0.2,0.182,1.0,0.908,0.8,0.68,0.618,0.348,0.246,0.222,0.214,0.15,0.712,0.706,0.622,0.548,0.532,0.422,0.402,0.398,0.388,0.376
noisy spymaster:glove 100:0.75,0.426,0.234,0.306,0.452,0.32,0.36,0.412,0.342,0.376,0.432,0.304,0.39,0.416,0.328,0.378,0.388,0.336,0.28,0.25,0.21,0.74,0.75,0.642,0.544,0.48,0.608,0.248,0.142,0.13,0.11,0.214,0.218,0.188,0.2,0.18,0.996,0.89,0.786,0.678,0.616,0.344,0.256,0.22,0.206,0.144,0.722,0.692,0.608,0.538,0.504,0.42,0.4,0.398,0.376,0.36
noisy spymaster:glove 100:1.0,0.366,0.256,0.288,0.396,0.29,0.35,0.394,0.296,0.388,0.396,0.282,0.368,0.378,0.318,0.386,0.358,0.324,0.274,0.23,0.192,0.712,0.7,0.582,0.48,0.44,0.594,0.234,0.128,0.118,0.094,0.194,0.188,0.204,0.19,0.164,0.948,0.82,0.742,0.64,0.556,0.32,0.266,0.186,0.188,0.136,0.658,0.624,0.574,0.484,0.434,0.37,0.384,0.366,0.34,0.344
noisy spymaster:fast-text:0.0,0.592,0.338,0.442,0.59,0.42,0.528,0.604,0.468,0.596,0.578,0.432,0.532,0.576,0.406,0.556,0.574,0.532,0.456,0.326,0.288,0.612,0.608,0.542,0.474,0.426,0.788,0.392,0.248,0.186,0.158,0.258,0.244,0.246,0.216,0.202,0.582,0.596,0.566,0.518,0.452,0.998,0.608,0.402,0.266,0.204,0.67,0.672,0.63,0.588,0.51,0.512,0.54,0.488,0.45,0.446
noisy spymaster:fast-text:0.25,0.59,0.34,0.44,0.586,0.422,0.534,0.606,0.474,0.592,0.582,0.434,0.53,0.574,0.41,0.552,0.57,0.558,0.422,0.366,0.296,0.612,0.616,0.55,0.498,0.446,0.788,0.36,0.19,0.124,0.1,0.256,0.254,0.234,0.23,0.204,0.586,0.57,0.544,0.49,0.43,0.998,0.618,0.426,0.314,0.216,0.668,0.648,0.61,0.572,0.47,0.508,0.508,0.496,0.46,0.446
noisy spymaster:fast-text:0.5,0.476,0.282,0.346,0.518,0.356,0.446,0.504,0.362,0.448,0.536,0.352,0.46,0.516,0.364,0.49,0.444,0.44,0.338,0.296,0.21,0.502,0.5,0.468,0.412,0.38,0.656,0.242,0.13,0.116,0.096,0.218,0.21,0.172,0.166,0.162,0.52,0.46,0.424,0.406,0.39,0.834,0.494,0.278,0.228,0.178,0.534,0.512,0.476,0.456,0.394,0.398,0.422,0.418,0.388,0.34
noisy spymaster:fast-text:0.75,0.352,0.178,0.208,0.36,0.24,0.324,0.38,0.294,0.334,0.354,0.288,0.34,0.372,0.266,0.368,0.324,0.29,0.232,0.228,0.2,0.392,0.36,0.336,0.312,0.27,0.516,0.19,0.118,0.094,0.08,0.144,0.158,0.14,0.12,0.128,0.386,0.404,0.338,0.314,0.268,0.564,0.286,0.196,0.16,0.152,0.412,0.414,0.354,0.316,0.288,0.302,0.294,0.308,0.296,0.25
noisy spymaster:fast-text:1.0,0.294,0.166,0.174,0.306,0.228,0.25,0.288,0.252,0.266,0.28,0.226,0.284,0.302,0.232,0.294,0.26,0.224,0.198,0.21,0.184,0.314,0.302,0.262,0.24,0.198,0.45,0.14,0.1,0.088,0.08,0.136,0.15,0.128,0.1,0.11,0.324,0.332,0.282,0.286,0.254,0.396,0.216,0.174,0.142,0.126,0.328,0.338,0.308,0.242,0.216,0.234,0.266,0.242,0.23,0.216
noisy spymaster:w2v_glove_50:0.0,0.5,0.294,0.364,0.496,0.362,0.456,0.482,0.39,0.444,0.476,0.376,0.46,0.516,0.362,0.42,0.486,0.454,0.362,0.286,0.242,0.702,0.668,0.596,0.51,0.438,0.624,0.314,0.194,0.144,0.118,0.2,0.196,0.222,0.188,0.198,0.82,0.806,0.716,0.626,0.556,0.404,0.304,0.214,0.168,0.168,0.704,0.694,0.61,0.58,0.508,0.4,0.408,0.386,0.362,0.38
noisy spymaster:w2v_glove_50:0.25,0.5,0.294,0.364,0.496,0.362,0.456,0.482,0.39,0.444,0.476,0.376,0.46,0.516,0.362,0.42,0.486,0.446,0.362,0.306,0.258,0.702,0.686,0.602,0.53,0.446,0.624,0.314,0.206,0.162,0.144,0.2,0.2,0.202,0.178,0.184,0.82,0.794,0.714,0.618,0.554,0.404,0.306,0.206,0.164,0.144,0.704,0.69,0.608,0.578,0.514,0.4,0.386,0.388,0.392,0.35
noisy spymaster:w2v_glove_50:0.5,0.5,0.294,0.364,0.496,0.362,0.454,0.482,0.39,0.444,0.474,0.376,0.46,0.514,0.362,0.42,0.486,0.446,0.362,0.306,0.258,0.704,0.686,0.604,0.53,0.446,0.626,0.314,0.206,0.162,0.144,0.2,0.202,0.2,0.178,0.184,0.82,0.794,0.714,0.62,0.554,0.402,0.304,0.202,0.164,0.144,0.702,0.692,0.608,0.578,0.514,0.402,0.386,0.388,0.392,0.35
noisy spymaster:w2v_glove_50:0.75,0.498,0.282,0.356,0.484,0.368,0.438,0.478,0.394,0.47,0.488,0.364,0.46,0.524,0.366,0.43,0.472,0.452,0.372,0.298,0.248,0.704,0.678,0.602,0.53,0.446,0.62,0.316,0.204,0.164,0.148,0.192,0.216,0.192,0.176,0.184,0.81,0.794,0.724,0.622,0.548,0.404,0.3,0.206,0.16,0.144,0.704,0.68,0.596,0.578,0.516,0.39,0.38,0.4,0.394,0.352
