,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
bayesian spymaster:0.0,0.0,0.256,0.45,0.584,0.582,0.0,0.094,0.216,0.292,0.38,0.0,0.53,0.718,0.788,0.784,0.068,0.336,0.504,0.576,0.656,0.16,0.204,0.262,0.31,0.43,0.338,0.504,0.65,0.664,0.726,0.044,0.094,0.14,0.266,0.35,0.404,0.402,0.414,0.472,0.532,,,,,,,,,,,,,,,
bayesian spymaster:0.25,0.006,0.07,0.226,0.436,0.508,0.0,0.026,0.076,0.138,0.226,0.03,0.418,0.642,0.72,0.766,0.088,0.194,0.306,0.47,0.544,0.048,0.086,0.142,0.216,0.258,0.126,0.284,0.486,0.61,0.708,0.002,0.014,0.062,0.114,0.184,0.224,0.232,0.27,0.264,0.312,,,,,,,,,,,,,,,
bayesian spymaster:0.5,0.038,0.076,0.214,0.378,0.472,0.002,0.004,0.044,0.11,0.18,0.032,0.37,0.672,0.73,0.772,0.158,0.218,0.304,0.428,0.5,0.024,0.04,0.078,0.166,0.202,0.126,0.282,0.454,0.624,0.742,0.002,0.004,0.042,0.08,0.154,0.19,0.228,0.236,0.262,0.302,,,,,,,,,,,,,,,
bayesian spymaster:0.75,0.1,0.144,0.302,0.43,0.51,0.006,0.012,0.034,0.084,0.154,0.024,0.434,0.672,0.754,0.786,0.232,0.238,0.342,0.446,0.542,0.032,0.036,0.082,0.132,0.2,0.124,0.278,0.484,0.622,0.712,0.008,0.01,0.022,0.064,0.134,0.24,0.262,0.266,0.304,0.312,,,,,,,,,,,,,,,
bayesian spymaster:1.0,0.158,0.186,0.326,0.442,0.544,0.008,0.018,0.03,0.082,0.156,0.036,0.47,0.682,0.732,0.792,0.32,0.322,0.404,0.472,0.574,0.034,0.036,0.054,0.126,0.182,0.2,0.366,0.522,0.642,0.726,0.01,0.024,0.038,0.086,0.148,0.258,0.276,0.296,0.318,0.382,,,,,,,,,,,,,,,
noisy spymaster:w2v:0.0,0.0,0.232,0.39,0.544,0.604,0.41,0.43,0.442,0.496,0.562,0.24,0.61,0.736,0.768,0.778,0.736,0.728,0.73,0.728,0.736,0.37,0.406,0.428,0.436,0.516,0.386,0.546,0.654,0.694,0.724,0.304,0.336,0.386,0.396,0.472,0.448,0.452,0.46,0.482,0.516,0.06,0.374,0.3,0.11,0.296,0.228,0.104,0.348,0.24,0.09,0.328,0.222,0.076,0.34,0.236
noisy spymaster:w2v:0.25,0.0,0.2,0.394,0.524,0.63,0.41,0.408,0.44,0.486,0.53,0.24,0.624,0.746,0.786,0.798,0.736,0.73,0.72,0.748,0.73,0.37,0.394,0.438,0.478,0.506,0.386,0.53,0.68,0.7,0.738,0.304,0.298,0.356,0.428,0.462,0.448,0.436,0.474,0.486,0.538,0.06,0.372,0.3,0.11,0.296,0.228,0.104,0.348,0.24,0.09,0.326,0.222,0.076,0.34,0.236
noisy spymaster:w2v:0.5,0.012,0.198,0.41,0.518,0.626,0.43,0.43,0.472,0.512,0.542,0.27,0.636,0.74,0.778,0.8,0.73,0.718,0.732,0.738,0.746,0.378,0.42,0.44,0.504,0.542,0.39,0.542,0.692,0.722,0.744,0.328,0.32,0.356,0.446,0.484,0.448,0.458,0.488,0.498,0.544,0.076,0.38,0.306,0.13,0.318,0.244,0.124,0.344,0.246,0.12,0.34,0.244,0.102,0.352,0.23
noisy spymaster:w2v:0.75,0.112,0.302,0.482,0.586,0.646,0.476,0.47,0.524,0.546,0.606,0.322,0.698,0.748,0.784,0.8,0.742,0.748,0.764,0.756,0.762,0.436,0.472,0.502,0.57,0.58,0.488,0.57,0.71,0.738,0.762,0.39,0.43,0.454,0.494,0.536,0.554,0.546,0.556,0.552,0.586,0.17,0.434,0.414,0.27,0.444,0.34,0.268,0.416,0.334,0.238,0.394,0.29,0.206,0.38,0.282
noisy spymaster:w2v:1.0,0.278,0.446,0.556,0.65,0.688,0.564,0.566,0.598,0.604,0.668,0.456,0.728,0.772,0.81,0.824,0.762,0.788,0.774,0.784,0.778,0.54,0.56,0.57,0.602,0.656,0.58,0.668,0.756,0.76,0.772,0.502,0.508,0.524,0.586,0.622,0.6,0.606,0.62,0.604,0.644,0.304,0.542,0.518,0.442,0.526,0.45,0.416,0.496,0.438,0.348,0.438,0.366,0.314,0.436,0.348
