,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
bayesian spymaster:0.0,0.23,1.798,2.644,3.144,3.482,0.12,1.074,1.638,2.148,2.492,0.054,3.224,3.69,3.75,3.858,1.832,2.442,3.012,3.414,3.46,1.438,1.496,1.92,2.416,2.638,2.048,2.838,3.45,3.72,3.982,0.566,0.956,1.52,2.032,2.444,2.526,2.61,2.648,2.772,2.852,,,,,,,,,,,,,,,
bayesian spymaster:0.25,0.446,0.974,1.86,2.754,3.256,0.064,0.366,0.848,1.378,1.892,0.598,2.642,3.496,3.64,3.728,1.968,2.07,2.498,2.918,3.44,0.712,0.884,1.198,1.596,2.192,1.26,2.1,3.142,3.586,3.622,0.166,0.392,0.798,1.206,1.594,1.832,1.886,2.004,2.106,2.32,,,,,,,,,,,,,,,
bayesian spymaster:0.5,0.684,1.036,1.77,2.578,3.248,0.124,0.268,0.612,1.112,1.646,0.534,2.684,3.552,3.736,3.788,1.962,2.018,2.44,2.76,3.234,0.468,0.612,0.908,1.32,1.908,1.18,2.064,3.1,3.576,3.576,0.148,0.29,0.53,0.908,1.348,1.954,1.892,2.022,2.12,2.158,,,,,,,,,,,,,,,
bayesian spymaster:0.75,1.056,1.374,1.928,2.608,3.192,0.164,0.232,0.536,0.914,1.538,0.5,2.602,3.654,3.876,3.942,2.158,2.29,2.548,2.932,3.178,0.42,0.514,0.772,1.22,1.772,1.382,2.2,3.148,3.6,3.706,0.194,0.256,0.474,0.888,1.352,1.906,1.936,1.964,2.156,2.414,,,,,,,,,,,,,,,
bayesian spymaster:1.0,1.324,1.672,2.302,2.938,3.426,0.2,0.33,0.572,0.856,1.386,0.512,2.94,3.548,3.8,3.758,2.418,2.488,2.824,3.068,3.234,0.382,0.512,0.756,1.154,1.662,1.524,2.392,3.28,3.578,3.71,0.256,0.28,0.512,0.802,1.284,2.048,2.09,2.186,2.386,2.452,,,,,,,,,,,,,,,
noisy spymaster:w2v:0.0,0.03,1.634,2.578,3.208,3.554,2.298,2.388,2.69,2.84,3.026,1.608,3.338,3.748,3.902,3.988,3.656,3.694,3.74,3.718,3.824,2.428,2.456,2.776,3.098,3.29,2.35,2.918,3.318,3.572,3.646,1.93,2.054,2.208,2.554,2.722,2.75,2.804,2.854,2.948,2.93,0.536,2.57,1.952,0.818,2.364,1.98,0.848,2.244,1.818,0.674,2.394,1.826,0.636,2.276,1.832
noisy spymaster:w2v:0.25,0.03,1.492,2.518,3.246,3.58,2.292,2.546,2.578,2.868,2.97,1.608,3.346,3.82,3.838,3.926,3.656,3.766,3.75,3.776,3.814,2.428,2.564,2.684,2.904,3.17,2.352,2.896,3.416,3.716,3.756,1.928,2.138,2.392,2.618,2.988,2.75,2.798,2.812,2.96,2.926,0.536,2.574,1.952,0.818,2.364,1.98,0.848,2.244,1.818,0.674,2.398,1.826,0.636,2.276,1.832
noisy spymaster:w2v:0.5,0.138,1.61,2.554,3.31,3.594,2.322,2.616,2.702,2.922,3.082,1.742,3.384,3.844,3.832,3.916,3.692,3.774,3.736,3.802,3.864,2.508,2.634,2.728,2.898,3.142,2.37,3.008,3.472,3.666,3.762,1.992,2.18,2.494,2.64,2.988,2.842,2.88,2.886,3.044,3.012,0.636,2.616,1.956,0.942,2.428,2.032,0.962,2.352,1.902,0.836,2.412,1.844,0.764,2.368,1.898
noisy spymaster:w2v:0.75,0.802,2.19,2.92,3.436,3.708,2.764,2.92,3.018,3.244,3.318,2.236,3.516,3.854,3.872,3.922,3.728,3.808,3.772,3.866,3.904,2.76,2.958,3.002,3.248,3.44,2.718,3.214,3.606,3.728,3.82,2.402,2.662,2.882,3.048,3.262,3.026,3.156,3.102,3.176,3.118,1.152,2.92,2.402,1.838,2.836,2.382,1.808,2.876,2.208,1.602,2.708,2.158,1.58,2.64,2.214
noisy spymaster:w2v:1.0,1.822,2.834,3.342,3.548,3.746,3.116,3.136,3.262,3.418,3.562,2.796,3.628,3.894,3.916,3.89,3.864,3.786,3.844,3.944,3.97,3.098,3.208,3.304,3.556,3.54,3.056,3.476,3.534,3.748,3.934,2.922,3.012,3.152,3.314,3.43,3.248,3.346,3.346,3.4,3.354,1.914,3.33,2.92,2.572,3.218,2.892,2.484,3.264,2.758,2.302,2.952,2.528,2.194,2.874,2.598
noisy spymaster:glove 300:0.0,3.052,3.226,3.454,3.552,3.706,0.0,0.878,1.628,2.156,2.556,1.866,3.534,3.796,3.97,4.012,3.678,3.708,3.74,3.826,3.826,1.164,1.376,1.862,2.47,2.836,3.044,3.234,3.472,3.578,3.648,0.626,1.056,1.692,2.166,2.578,3.092,3.098,3.098,3.176,3.154,1.368,2.802,2.214,1.378,2.502,1.966,1.282,2.452,2.048,1.31,2.456,2.038,1.352,2.47,2.09
noisy spymaster:glove 300:0.25,3.052,3.266,3.45,3.552,3.612,0.0,0.868,1.548,2.148,2.484,1.866,3.544,3.768,3.868,3.94,3.678,3.748,3.832,3.924,3.958,1.164,1.314,1.748,2.252,2.6,3.044,3.442,3.652,3.656,3.794,0.626,1.088,1.636,2.132,2.57,3.092,3.136,3.238,3.166,3.174,1.368,2.802,2.214,1.378,2.502,1.966,1.282,2.452,2.048,1.31,2.456,2.038,1.352,2.47,2.09
noisy spymaster:glove 300:0.5,3.052,3.266,3.45,3.552,3.612,0.0,0.868,1.548,2.148,2.484,1.866,3.544,3.768,3.868,3.94,3.678,3.748,3.836,3.924,3.958,1.164,1.314,1.748,2.252,2.6,3.044,3.444,3.654,3.656,3.794,0.626,1.088,1.636,2.132,2.57,3.092,3.136,3.238,3.166,3.176,1.37,2.802,2.214,1.378,2.502,1.966,1.282,2.452,2.05,1.31,2.456,2.038,1.352,2.47,2.09
noisy spymaster:glove 300:0.75,3.056,3.264,3.45,3.556,3.608,0.002,0.876,1.548,2.15,2.492,1.872,3.544,3.772,3.866,3.94,3.68,3.742,3.83,3.914,3.968,1.164,1.328,1.744,2.262,2.606,3.05,3.444,3.648,3.658,3.8,0.632,1.09,1.64,2.142,2.576,3.096,3.144,3.236,3.168,3.172,1.38,2.804,2.216,1.384,2.508,1.976,1.318,2.446,2.076,1.324,2.444,2.066,1.362,2.472,2.096
