,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
bayesian spymaster:0.0,9.0,7.884,7.07,6.352,6.152,9.0,8.614,8.142,7.718,7.306,9.0,6.332,5.338,4.92,4.768,8.848,7.818,6.848,6.554,5.876,8.384,8.162,7.862,7.644,7.228,7.582,6.818,6.062,5.706,5.54,8.822,8.626,8.342,7.824,7.442,7.362,7.312,7.314,6.978,6.728,,,,,,,,,,,,,,,
bayesian spymaster:0.25,8.972,8.706,8.036,7.13,6.718,9.0,8.886,8.66,8.45,8.078,8.868,7.1,5.726,5.178,4.876,8.818,8.522,7.892,7.244,6.882,8.808,8.592,8.362,8.062,7.9,8.508,7.854,6.928,6.23,5.574,8.986,8.952,8.714,8.498,8.21,8.19,8.07,8.01,8.016,7.802,,,,,,,,,,,,,,,
bayesian spymaster:0.5,8.886,8.688,8.138,7.426,7.05,8.994,8.98,8.82,8.55,8.182,8.846,7.358,5.85,5.26,4.984,8.708,8.488,8.058,7.432,7.03,8.906,8.814,8.702,8.348,8.19,8.584,7.968,7.128,6.196,5.5,8.994,8.984,8.816,8.676,8.3,8.372,8.308,8.192,8.142,7.934,,,,,,,,,,,,,,,
bayesian spymaster:0.75,8.674,8.506,7.932,7.3,6.96,8.964,8.958,8.858,8.64,8.328,8.862,7.116,5.768,5.144,4.904,8.496,8.444,7.942,7.432,6.874,8.868,8.848,8.69,8.464,8.174,8.546,8.002,6.828,6.162,5.64,8.972,8.964,8.894,8.778,8.472,8.2,8.158,8.126,8.076,7.938,,,,,,,,,,,,,,,
bayesian spymaster:1.0,8.552,8.444,7.884,7.248,6.756,8.966,8.928,8.868,8.618,8.338,8.864,6.926,5.712,5.272,4.924,8.158,8.16,7.72,7.252,6.776,8.84,8.816,8.734,8.502,8.262,8.308,7.762,6.774,5.882,5.512,8.986,8.9,8.858,8.652,8.426,8.178,8.12,8.068,7.964,7.688,,,,,,,,,,,,,,,
noisy spymaster:w2v:0.0,9.0,7.902,7.198,6.57,6.188,7.256,7.074,6.88,6.652,6.364,7.914,6.022,5.29,5.042,4.914,5.636,5.638,5.424,5.332,5.282,7.424,7.352,7.148,7.104,6.71,7.212,6.378,5.738,5.47,5.174,7.686,7.58,7.322,7.248,6.804,7.048,7.042,6.888,6.858,6.642,8.798,7.112,7.382,8.45,7.494,7.896,8.52,7.224,7.834,8.568,7.432,7.948,8.65,7.324,7.866
noisy spymaster:w2v:0.25,9.0,8.038,7.13,6.65,6.148,7.258,7.28,7.054,6.82,6.54,7.912,6.006,5.25,4.916,4.782,5.636,5.604,5.502,5.304,5.308,7.424,7.386,7.092,6.87,6.684,7.212,6.514,5.708,5.456,5.134,7.686,7.67,7.428,7.06,6.892,7.048,7.112,6.898,6.86,6.494,8.798,7.114,7.382,8.45,7.494,7.896,8.52,7.224,7.834,8.568,7.442,7.948,8.65,7.324,7.866
noisy spymaster:w2v:0.5,8.952,8.026,7.036,6.634,6.124,7.158,7.178,6.988,6.766,6.526,7.778,6.012,5.234,4.924,4.772,5.628,5.542,5.488,5.364,5.328,7.368,7.272,7.014,6.688,6.508,7.164,6.49,5.674,5.36,5.084,7.592,7.626,7.454,6.988,6.8,7.044,7.036,6.862,6.818,6.444,8.754,7.088,7.324,8.358,7.354,7.84,8.422,7.222,7.82,8.482,7.324,7.862,8.53,7.294,7.866
noisy spymaster:w2v:0.75,8.49,7.69,6.72,6.266,5.984,6.876,6.928,6.692,6.6,6.252,7.598,5.64,5.064,4.782,4.646,5.464,5.342,5.288,5.254,5.168,7.038,7.104,6.83,6.446,6.33,6.782,6.252,5.524,5.184,4.998,7.352,7.208,7.004,6.742,6.516,6.614,6.628,6.558,6.494,6.186,8.292,6.75,6.718,7.73,6.902,7.336,7.774,7.014,7.36,7.882,7.138,7.638,8.022,7.174,7.65
noisy spymaster:w2v:1.0,7.782,7.136,6.406,5.936,5.702,6.454,6.426,6.3,6.248,5.952,7.07,5.318,4.944,4.664,4.534,5.41,5.138,5.138,5.054,5.1,6.558,6.618,6.466,6.278,5.924,6.32,5.756,5.198,5.022,4.926,6.732,6.648,6.542,6.252,6.08,6.172,6.306,6.302,6.122,5.884,7.622,6.286,6.304,6.946,6.58,6.942,7.144,6.856,6.926,7.39,6.878,7.214,7.52,6.952,7.346
