,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
bayesian spymaster:0.0,4.476,6.144,7.29,7.75,8.266,3.924,4.96,5.728,6.456,7.054,2.86,7.878,8.306,8.32,8.44,8.918,8.028,8.236,8.686,8.368,5.68,5.718,6.36,6.928,7.388,6.312,7.448,8.158,8.488,8.8,4.494,4.946,5.688,6.184,6.726,7.198,7.27,7.332,7.424,7.53,,,,,,,,,,,,,,,
bayesian spymaster:0.25,6.18,6.956,8.176,9.012,9.68,4.952,5.414,6.24,7.234,8.134,6.378,9.04,9.564,9.328,9.342,9.794,9.782,9.68,9.822,10.292,6.238,6.39,6.864,7.58,8.538,7.29,8.598,9.76,9.972,9.652,5.168,5.488,6.21,7.012,7.644,8.344,8.304,8.442,8.686,8.886,,,,,,,,,,,,,,,
bayesian spymaster:0.5,7.5,7.904,9.03,9.808,10.69,5.894,6.212,6.778,7.546,8.356,6.97,10.088,10.582,10.37,10.214,10.488,10.404,10.598,10.718,11.114,6.59,6.782,7.388,7.946,8.926,8.104,9.346,10.634,10.78,10.206,6.05,6.262,6.708,7.332,7.934,9.414,9.316,9.492,9.54,9.538,,,,,,,,,,,,,,,
bayesian spymaster:0.75,8.304,8.88,9.524,10.26,11.026,6.536,6.684,7.178,7.79,8.678,7.254,10.138,11.024,10.738,10.71,10.924,11.002,10.968,11.326,11.382,6.976,7.12,7.572,8.258,9.062,8.766,9.954,10.782,11.154,10.972,6.612,6.77,7.17,7.784,8.296,9.632,9.63,9.756,10.048,10.348,,,,,,,,,,,,,,,
bayesian spymaster:1.0,9.096,9.54,10.39,11.156,11.388,7.086,7.186,7.586,7.93,8.802,7.648,10.778,10.992,10.966,10.69,11.178,11.326,11.526,11.568,11.596,7.35,7.57,7.9,8.546,9.222,9.184,10.436,11.262,11.118,11.066,7.174,7.19,7.534,7.988,8.774,10.132,10.07,10.166,10.418,10.4,,,,,,,,,,,,,,,
noisy spymaster:w2v:0.0,4.828,5.948,7.216,7.884,8.364,6.704,6.8,7.124,7.422,7.656,6.086,8.106,8.632,8.812,8.88,8.514,8.602,8.49,8.542,8.742,7.116,7.192,7.672,8.044,8.164,6.75,7.428,8.06,8.456,8.486,6.266,6.486,6.604,7.214,7.332,7.586,7.61,7.632,7.808,7.74,5.136,6.09,8.128,5.42,5.77,6.288,5.438,5.616,6.026,5.22,5.774,6.016,5.198,5.68,5.772
noisy spymaster:w2v:0.25,4.828,5.882,7.112,8.012,8.466,6.698,7.084,7.048,7.578,7.758,6.086,8.228,8.714,8.676,8.742,8.514,8.664,8.674,8.604,8.792,7.12,7.404,7.462,7.666,8.076,6.752,7.498,8.254,8.698,8.56,6.266,6.444,6.85,7.118,7.654,7.59,7.588,7.682,7.874,7.694,5.138,6.092,8.128,5.42,5.77,6.288,5.438,5.616,6.026,5.22,5.782,6.016,5.198,5.678,5.772
noisy spymaster:w2v:0.5,4.916,6.052,7.146,8.122,8.536,6.728,7.11,7.146,7.628,7.864,6.21,8.27,8.716,8.668,8.728,8.532,8.616,8.66,8.644,8.826,7.182,7.39,7.454,7.542,7.98,6.76,7.68,8.27,8.556,8.554,6.314,6.526,7.022,7.166,7.634,7.678,7.696,7.808,8.012,7.826,5.256,6.232,8.214,5.608,5.876,6.586,5.554,5.746,6.314,5.364,5.812,6.132,5.286,5.784,5.946
noisy spymaster:w2v:0.75,5.58,6.804,7.604,8.27,8.646,7.216,7.532,7.696,8.152,8.182,7.002,8.26,8.614,8.632,8.626,8.558,8.594,8.624,8.7,8.818,7.468,7.724,7.774,7.976,8.408,7.164,7.902,8.42,8.57,8.662,6.828,7.186,7.346,7.654,8.108,7.842,7.978,7.976,8.11,7.908,5.846,6.688,8.822,6.954,6.416,7.808,6.756,6.546,7.296,6.364,6.256,6.874,6.354,6.23,6.684
noisy spymaster:w2v:1.0,6.624,7.564,8.138,8.326,8.612,7.75,7.696,7.898,8.304,8.41,7.616,8.434,8.686,8.662,8.568,8.68,8.55,8.708,8.784,8.964,7.76,7.982,8.162,8.402,8.368,7.59,8.122,8.268,8.534,8.762,7.4,7.45,7.678,7.886,8.154,7.994,8.186,8.26,8.224,8.112,6.87,7.356,10.114,8.03,7.088,9.092,7.822,7.168,8.518,7.304,6.74,7.7,7.09,6.656,7.538
noisy spymaster:glove 300:0.0,7.404,7.468,7.832,8.02,8.216,4.082,4.582,5.38,6.166,6.714,5.862,8.164,8.442,8.634,8.69,8.26,8.252,8.322,8.536,8.476,5.018,5.45,5.89,6.682,7.218,7.408,7.554,8.058,8.232,8.312,4.364,4.748,5.452,6.172,6.792,7.612,7.514,7.62,7.722,7.588,5.5,6.412,8.58,5.454,5.788,6.38,5.274,5.838,6.292,5.33,5.77,6.262,5.316,5.81,6.236
noisy spymaster:glove 300:0.25,7.404,7.564,7.824,7.962,8.086,4.082,4.646,5.218,6.124,6.602,5.862,8.13,8.286,8.422,8.566,8.26,8.356,8.538,8.736,8.736,5.018,5.17,5.87,6.412,6.882,7.408,7.932,8.172,8.22,8.408,4.364,4.708,5.42,6.032,6.676,7.612,7.642,7.834,7.73,7.71,5.5,6.412,8.58,5.454,5.788,6.38,5.274,5.838,6.292,5.33,5.77,6.262,5.316,5.81,6.236
noisy spymaster:glove 300:0.5,7.404,7.564,7.824,7.962,8.086,4.082,4.646,5.218,6.124,6.602,5.862,8.13,8.286,8.422,8.566,8.26,8.356,8.54,8.736,8.736,5.018,5.17,5.87,6.412,6.882,7.408,7.932,8.178,8.22,8.408,4.364,4.708,5.42,6.032,6.676,7.612,7.642,7.834,7.73,7.718,5.5,6.412,8.58,5.454,5.788,6.38,5.274,5.838,6.296,5.33,5.77,6.262,5.316,5.81,6.236
noisy spymaster:glove 300:0.75,7.414,7.558,7.826,7.968,8.08,4.084,4.642,5.22,6.128,6.626,5.886,8.126,8.29,8.422,8.568,8.258,8.358,8.548,8.738,8.75,5.022,5.178,5.86,6.434,6.902,7.41,7.942,8.17,8.22,8.42,4.372,4.722,5.424,6.044,6.682,7.624,7.662,7.828,7.726,7.714,5.524,6.42,8.584,5.48,5.798,6.402,5.338,5.854,6.366,5.358,5.744,6.308,5.348,5.824,6.232
noisy spymaster:glove 300:1.0,7.452,7.526,7.812,7.954,8.058,4.114,4.682,5.278,6.164,6.588,6.004,8.09,8.318,8.392,8.576,8.276,8.33,8.574,8.772,8.69,5.09,5.266,5.936,6.51,6.924,7.46,7.994,8.184,8.27,8.49,4.422,4.802,5.45,6.088,6.748,7.65,7.68,7.86,7.678,7.81,5.56,6.51,8.692,5.664,5.868,6.528,5.528,6.072,6.572,5.65,5.864,6.436,5.452,5.888,6.426
