,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
bayesian spymaster:0.0,4.476,11.556,16.176,19.034,19.404,3.924,7.036,10.314,12.55,14.79,2.86,18.414,21.94,23.136,23.276,9.882,14.044,17.684,19.354,20.604,9.082,10.066,11.876,13.246,15.804,13.398,17.294,20.58,20.93,22.178,5.494,7.03,8.756,11.772,13.912,15.184,15.206,15.5,16.712,17.96,,,,,,,,,,,,,,,
bayesian spymaster:0.25,6.31,8.438,12.636,17.12,18.956,4.952,5.992,7.888,9.998,12.55,7.048,16.936,21.424,22.526,23.254,10.974,12.598,15.104,17.904,19.652,7.266,8.304,9.856,11.968,13.568,9.796,13.956,18.456,20.728,22.004,5.216,5.792,7.554,9.422,11.356,12.532,12.788,13.524,13.698,14.732,,,,,,,,,,,,,,,
bayesian spymaster:0.5,8.222,9.45,13.088,16.728,18.806,5.938,6.304,7.71,9.754,11.962,7.674,16.872,21.976,23.012,23.638,12.586,13.642,15.418,17.958,19.416,7.1,7.654,8.954,11.202,12.87,10.496,14.426,18.462,21.198,22.646,6.094,6.342,7.596,8.97,11.082,12.796,13.262,13.684,14.118,14.948,,,,,,,,,,,,,,,
bayesian spymaster:0.75,10.2,11.518,14.86,17.622,19.506,6.668,6.93,7.866,9.512,11.674,7.794,17.884,22.296,23.386,23.874,14.07,14.484,16.464,18.454,20.1,7.65,7.866,9.236,10.86,12.82,11.136,14.872,19.336,21.6,22.664,6.77,6.968,7.626,9.03,10.894,13.806,14.2,14.414,15.156,15.674,,,,,,,,,,,,,,,
bayesian spymaster:1.0,11.888,12.774,15.936,18.558,20.344,7.25,7.54,8.204,9.612,11.822,8.382,18.906,22.27,23.328,23.822,15.88,16.046,17.8,18.962,20.546,8.064,8.338,9.024,10.998,12.654,12.754,16.744,20.104,21.882,23.048,7.348,7.684,8.266,9.682,11.55,14.55,14.732,15.168,15.726,16.816,,,,,,,,,,,,,,,
noisy spymaster:w2v:0.0,4.828,11.032,15.114,18.302,19.876,14.908,15.368,15.96,17.11,18.346,11.21,19.674,22.302,23.078,23.29,21.904,21.918,22.18,22.204,22.34,14.438,15.016,15.878,16.378,18.024,14.592,18.256,20.676,21.68,22.422,12.624,13.226,14.314,15.072,16.622,16.47,16.336,16.738,17.232,17.804,6.48,13.884,14.154,7.882,12.13,11.148,7.762,12.984,11.18,7.26,12.688,10.736,6.908,12.91,10.85
noisy spymaster:w2v:0.25,4.828,10.276,15.108,17.986,20.092,14.884,15.122,15.784,17.018,18.036,11.21,20.128,22.62,23.276,23.568,21.904,21.97,21.906,22.324,22.452,14.442,14.99,16.052,16.916,17.794,14.594,17.932,20.842,21.754,22.482,12.624,12.612,14.15,15.68,16.778,16.472,16.106,16.912,17.37,18.146,6.482,13.852,14.154,7.882,12.13,11.148,7.762,12.984,11.18,7.26,12.654,10.736,6.908,12.908,10.85
noisy spymaster:w2v:0.5,5.186,10.414,15.454,17.936,20.126,15.246,15.602,16.412,17.494,18.38,11.958,20.222,22.598,23.162,23.588,21.856,21.924,21.976,22.238,22.654,14.698,15.446,16.172,17.4,18.51,14.746,18.232,21.088,21.984,22.616,13.032,13.052,14.26,15.976,17.086,16.57,16.662,17.164,17.596,18.384,6.934,14.118,14.33,8.492,12.678,11.726,8.308,13.01,11.546,8.024,12.97,11.282,7.54,13.212,10.902
noisy spymaster:w2v:0.75,7.984,13.04,17.158,19.372,20.578,16.558,16.646,17.874,18.356,19.45,13.574,21.486,22.81,23.462,23.78,22.28,22.472,22.496,22.55,22.798,16.116,16.738,17.386,18.626,19.29,16.902,19.094,21.71,22.458,22.99,14.732,15.624,16.344,17.31,18.254,18.518,18.412,18.6,18.638,19.344,9.524,15.572,16.748,12.566,15.484,14.644,12.374,15.006,14.1,11.43,14.322,12.808,10.686,14.058,12.48
noisy spymaster:w2v:1.0,12.304,16.32,18.856,20.654,21.338,18.696,18.574,19.328,19.776,20.772,16.514,22.054,23.282,23.92,24.088,22.718,23.02,22.902,23.152,23.04,18.286,18.598,18.93,19.682,20.618,18.82,21.078,22.344,22.852,23.318,17.376,17.604,18.04,19.182,19.91,19.75,19.702,19.674,19.71,20.524,13.17,17.994,19.24,16.832,17.366,17.486,15.992,16.854,16.85,14.274,15.476,14.916,13.49,15.388,14.38
